GENE	Par_RR_dS	Par_RR_Omega	Par_RR_dS_PP	Par_RR_Omega_PP	Sig
4326.38152318.Subtilisin_like_serine_endopeptidase_family_protein	-0.658	-0.521	0.015	0.052	*
4327.38152320.expressed_protein	0.283	-0.456	0.77	0.11	*
4329.38152394.beta_xylosidase_3	-0.241	-0.167	0.32	0.37	*
4330.38152399.syntaxin_of_plants_72	0.0559	-0.734	0.52	0.062	*
4336.38152501.	-0.446	0.328	0.097	0.82	*
4337.38152502.	0.107	-0.212	0.59	0.33	*
434.38083683.expressed_protein	-0.209	-0.19	0.33	0.38	*
4341.38152626.Formyl_transferase	0.316	0.0043	0.74	0.5	*
4344.38152676.Mak16_protein_domain_containing_protein__expressed	-0.699	-0.177	0.024	0.28	*
4346.38152756.BLISTER	-0.0107	-0.67	0.49	0.041	*
4348.38152764.ATP_binding_microtubule_motor_family_protein	0.552	0.275	0.93	0.75	*
4349.38152780.expressed_protein	-0.761	0.38	0.068	0.76	*
435.38083717.expressed_protein	-0.403	-0.0182	0.21	0.49	*
4350.38152800.	-0.34	0.272	0.22	0.74	*
4357.38152912.protein_kinase_C_substrate__heavy_chain_related	-0.434	-0.0768	0.16	0.43	*
4363.38152975.PLATZ_transcription_factor_family_protein	0.36	0.221	0.76	0.66	*
437.38083698.fringe_related_protein	0.0286	-0.281	0.51	0.33	*
4372.38153131.Acyl_CoA_N_acyltransferases__NAT__superfamily_protein	0.68	0.305	1	0.83	*
4383.38153331.UDP_Glycosyltransferase_superfamily_protein	0.0189	-0.107	0.51	0.43	*
4389.38153403.	-0.415	-0.51	0.13	0.073	*
4393.38153459.NAP1__putative__expressed	-0.293	-0.424	0.27	0.21	*
4397.38153559.Domain_of_unknown_function__DUF298_	0.252	-0.376	0.69	0.21	*
44.38076240.cytidylyltransferase_domain_containing_protein__expressed	-0.133	-0.000162	0.35	0.51	*
440.38083717.expressed_protein	-0.374	0.0302	0.23	0.53	*
440.38083810.oxidoreductase__2OG_Fe_oxygenase_family_protein__putative__expressed	-0.666	-0.359	0.0065	0.14	*
4401.38153631.	-0.251	0.0471	0.29	0.53	*
4402.38153685.paramyosin_related	-0.141	-0.359	0.39	0.28	*
4406.38153714.expressed_protein	-0.2	-0.386	0.32	0.22	*
4413.38153786.ZF_HD_protein_dimerisation_region_containing_protein__expressed	-0.427	-0.583	0.13	0.068	*
4418.38153861.zinc_finger_protein_related__putative__expressed	-0.0822	-0.231	0.42	0.27	*
4423.38153928.CHIT15___Chitinase_family_protein_precursor__putative__expressed	0.131	-0.00912	0.6	0.5	*
4426.38153953.Defensin_like__DEFL__family_protein	0.215	-0.0392	0.69	0.48	*
4430.38153996.nudix_hydrolase_homolog_20	0.78	-0.321	0.97	0.26	*
4432.38154032.PAP_fibrillin_family_domain_containing_protein__expressed	-0.0546	0.176	0.44	0.72	*
4434.38154048.Profilin_family_protein	0.0514	-0.482	0.52	0.22	*
4437.38154076.expressed_protein	-0.698	-0.884	0.083	0.002	*
444.38083874.expressed_protein	-0.668	0.124	0.014	0.64	*
4446.38154156.methylcrotonoyl_CoA_carboxylase_subunit_alpha__mitochondrial_precursor__putative__expressed	0.294	-0.0324	0.7	0.47	*
4447.38154164.methylcrotonoyl_CoA_carboxylase_subunit_alpha__mitochondrial_precursor__putative__expressed	-0.24	-0.215	0.24	0.26	*
4449.38154201.expressed_protein	0.244	-0.781	0.68	0.048	*
445.38083810.oxidoreductase__2OG_Fe_oxygenase_family_protein__putative__expressed	-0.669	-0.387	0.0066	0.13	*
4451.38154264.	-0.527	0.303	0.16	0.7	*
4455.38154333.plant_protein_of_unknown_function_domain_containing_protein__expressed	0.00536	0.104	0.5	0.56	*
4458.38154413.ribosomal_protein_L11_methyltransferase_related	-0.124	-0.821	0.41	0.029	*
4459.38154436.	-0.389	-0.601	0.14	0.018	*
4461.38154466.	-0.154	0.285	0.37	0.71	*
4464.38154529.nucleotidyltransferase__putative__expressed	-0.16	0.0136	0.38	0.5	*
4470.38154708.Carbohydrate_binding_X8_domain_superfamily_protein	-0.211	-0.00101	0.33	0.48	*
4472.38154728.S_adenosyl_L_methionine_dependent_methyltransferases_superfamily_protein	-0.246	0.418	0.24	0.86	*
4481.38154899.acetamidase__putative__expressed	-0.243	0.169	0.24	0.68	*
449.38083874.expressed_protein	-0.681	0.162	0.017	0.68	*
4491.38155092.Protein_kinase_superfamily_protein	-0.179	-0.347	0.32	0.19	*
4497.38155173.Protein_kinase_superfamily_protein	-0.308	0.2	0.18	0.71	*
4503.38155288.expressed_protein	-0.0921	-0.524	0.42	0.11	*
4505.38155320.SAP_domain_containing_protein__expressed	-0.339	-0.358	0.23	0.23	*
4510.38155406.expressed_protein	0.0315	-0.36	0.5	0.26	*
4516.38155483.Protein_of_unknown_function__DUF538	-0.447	0.46	0.19	0.81	*
4520.38155529.kinesin_like_protein__putative__expressed	0.0589	0.341	0.55	0.76	*
4521.38155547.ATP_synthase_protein_YMF19__putative__expressed	-0.255	-0.0855	0.29	0.45	*
4531.38155661.NUP155__putative__expressed	0.0515	-0.638	0.56	0.026	*
4532.38155694.expressed_protein	0.0929	-0.411	0.63	0.18	*
4535.38155704.parafibromin__putative__expressed	-0.157	-0.019	0.32	0.47	*
4539.38155743.ADC_synthase_superfamily_protein	-0.0903	-0.4	0.41	0.2	*
454.38084076.NAD_P__linked_oxidoreductase_superfamily_protein	-0.151	-0.253	0.35	0.33	*
4544.38155834.golgin_candidate_6	-0.502	-0.165	0.05	0.29	*
4545.38155862.golgin_candidate_6	0.154	0.289	0.62	0.74	*
4551.38155986.expressed_protein	-0.42	0.283	0.21	0.7	*
4552.38155993.expressed_protein	-0.0983	0.165	0.44	0.63	*
4554.38156087.expressed_protein	-0.316	0.146	0.24	0.6	*
4555.38156109.expressed_protein	-0.404	0.223	0.19	0.64	*
4556.38156131.	-0.191	-0.158	0.35	0.4	*
4561.38156193.expressed_protein	-0.677	-0.144	0.084	0.41	*
4563.38156223.DNA_repair_recombination_protein__RAD50_	-0.727	-0.28	0.0076	0.14	*
4572.38156364.isopropylmalate_dehydrogenase_1	-0.792	-0.176	0.0051	0.31	*
4575.38156439.Protein_kinase_superfamily_protein	-0.351	-0.429	0.15	0.14	*
4577.38156448.myosin_related	-0.397	0.321	0.14	0.76	*
458.38084193.zinc_finger_protein__putative__expressed	0.0372	-0.8	0.52	0.026	*
4580.38156536.expressed_protein	-0.718	-0.776	0.049	0.04	*
4584.38156621.expressed_protein	-0.452	0.125	0.088	0.63	*
4585.38156624.Thioredoxin_superfamily_protein	-0.219	0.11	0.34	0.59	*
459.38084076.NAD_P__linked_oxidoreductase_superfamily_protein	-0.209	-0.293	0.3	0.3	*
459.38084204.	0.00677	-0.143	0.48	0.38	*
4593.38156769.cinnamoyl_CoA_reductase_family__putative__expressed	0.0642	-0.131	0.56	0.42	*
4599.38156891.expressed_protein	-0.573	0.495	0.13	0.88	*
4602.38156968.dentin_sialophosphoprotein_related	0.453	0.613	0.83	0.93	*
4604.38157000.ARP_protein__REF_	-0.0665	-0.483	0.42	0.057	*
4605.38157023.expressed_protein	-0.713	-0.146	0.017	0.39	*
4607.38157044.	0.568	-0.427	0.96	0.074	*
4613.38157111.expressed_protein	-0.669	0.153	0.025	0.63	*
4615.38157122.S_adenosyl_L_methionine_dependent_methyltransferases_superfamily_protein	-0.0619	-0.134	0.46	0.41	*
4616.38157137.riboflavin_biosynthesis_protein_related__putative__expressed	-0.319	-0.346	0.23	0.27	*
4620.38157194.peptide_Nasparagine_amidase__putative__expressed	-0.741	-0.693	0.031	0.038	*
4621.38157247.peptide_Nasparagine_amidase__putative__expressed	-0.771	-0.431	0.048	0.13	*
4624.38157275.fatty_acid_hydroxylase__putative__expressed	-0.487	-0.0546	0.087	0.45	*
4626.38157294.FAD_dependent_oxidoreductase_domain_containing_protein__expressed	-0.421	-0.655	0.2	0.065	*
4627.38157318.FAD_dependent_oxidoreductase_domain_containing_protein__expressed	0.345	-0.299	0.74	0.31	*
463.38084193.zinc_finger_protein__putative__expressed	0.0487	-0.814	0.54	0.017	*
4632.38157383.ubiquitin_conjugating_enzyme__putative__expressed	0.0454	0.38	0.56	0.85	*
4636.38157528.zinc_finger_family_protein__putative__expressed	-0.893	-0.193	0.0051	0.31	*
4638.38157579.Zinc_finger__C3HC4_type__RING_finger__family_protein	-0.259	0.199	0.18	0.71	*
464.38084204.	-0.0273	-0.123	0.45	0.38	*
464.38084235.Polynucleotidyl_transferase__ribonuclease_H_like_superfamily_protein	0.238	0.175	0.69	0.61	*
4643.38157611.zinc_finger__C3HC4_type_domain_containing_protein__expressed	-0.0415	-0.219	0.46	0.25	*
4652.38157767.expressed_protein	0.129	-0.0947	0.62	0.46	*
4653.38157799.PLAC8_family_protein	-0.269	0.116	0.32	0.56	*
4656.38157824.zinc_finger__C3HC4_type_domain_containing_protein__expressed	0.0648	-0.42	0.57	0.094	*
4658.38157878.zinc_finger__C3HC4_type_domain_containing_protein__expressed	-0.0848	-0.428	0.43	0.17	*
466.38084277.sterol_glucosyltransferase__putative__expressed	0.179	-0.138	0.62	0.39	*
4660.38157911.acireductone_dioxygenase_1	-0.483	-0.459	0.14	0.14	*
4670.38158110.expressed_protein	-0.681	-0.272	0.04	0.26	*
4675.38158196.Oleosin_family_protein	0.211	-0.126	0.72	0.35	*
4677.38158225.expressed_protein	-0.638	0.0346	0.025	0.54	*
4679.38158237.expressed_protein	-0.0385	-0.408	0.47	0.23	*
4682.38158309.uncharacterized_protein_all1601__putative__expressed	-0.298	-0.554	0.22	0.091	*
4684.38158334.	0.091	-0.494	0.6	0.14	*
4689.38158424.enoyl_CoA_hydratase_2	0.203	-0.316	0.71	0.22	*
469.38084235.Polynucleotidyl_transferase__ribonuclease_H_like_superfamily_protein	0.254	0.133	0.69	0.59	*
4694.38158605.cytochrome_P450__putative__expressed	0.0216	0.638	0.53	0.96	*
4699.38158687.resistance_protein_SlVe1_precursor__putative__expressed	-0.557	-0.391	0.049	0.14	*
4701.38158699.expressed_protein	0.198	-0.134	0.72	0.36	*
4702.38158718.expressed_protein	0.469	-0.538	0.89	0.058	*
4705.38158768.methyltransferases	-0.347	0.0271	0.2	0.53	*
4707.38158792.expressed_protein	-0.28	0.763	0.33	0.93	*
4709.38158851.oxidoreductase__2OG_Fe_II__oxygenase_family_protein	-0.47	-0.882	0.21	0.014	*
471.38084277.sterol_glucosyltransferase__putative__expressed	0.197	-0.117	0.63	0.41	*
4710.38158852.expressed_protein	-0.382	-0.249	0.14	0.31	*
4714.38158975.	-0.67	0.239	0.025	0.76	*
4721.38159106.	0.229	0.0288	0.72	0.53	*
4723.38159122.Copper_transport_protein_family	0.311	0.31	0.71	0.69	*
4726.38159153.josephin__putative__expressed	-0.433	-0.0336	0.14	0.49	*
4731.38159185.cinnamyl_alcohol_dehydrogenase_6	-0.169	0.485	0.34	0.91	*
4734.38159221.expressed_protein	-0.0444	-0.168	0.45	0.33	*
4735.38159230.amino_acid_kinase__putative__expressed	-0.593	0.193	0.069	0.67	*
4738.38159288.protein_phosphatase_2C__putative__expressed	-0.321	-0.0516	0.15	0.47	*
4739.38159300.	0.548	0.37	0.86	0.77	*
4740.38159308.RNA_recognition_motif_containing_protein__putative__expressed	0.0877	-0.149	0.57	0.41	*
4741.38159348.transferases__transferring_acyl_groups	-0.256	0.0999	0.24	0.63	*
4743.38159423.expressed_protein	-0.577	-0.125	0.074	0.4	*
4744.38159439.rhodanese_like_domain_containing_protein__putative__expressed	-0.0245	-0.135	0.47	0.4	*
4745.38159457.superoxide_dismutase__chloroplast__putative__expressed	-0.138	0.41	0.37	0.77	*
4746.38159474.superoxide_dismutase__chloroplast__putative__expressed	-0.121	-0.417	0.41	0.21	*
4747.38159493.AMP_binding_enzyme__putative__expressed	-0.415	-0.111	0.11	0.39	*
4748.38159512.expansin_12	-0.0709	-0.329	0.45	0.29	*
475.38084344.	0.155	-0.386	0.61	0.26	*
4751.38159569.regulatory_particle_non_ATPase_13	0.319	-0.53	0.79	0.086	*
4752.38159589.	0.395	-0.177	0.86	0.33	*
4753.38159611.expressed_protein	0.0621	0.36	0.6	0.75	*
4757.38159647.expressed_protein	0.192	-0.479	0.64	0.19	*
4758.38159648.Pentatricopeptide_repeat__PPR__superfamily_protein	0.21	-0.21	0.67	0.33	*
4760.38159678.zinc_knuckle__CCHC_type__family_protein	-0.469	-0.296	0.095	0.22	*
4763.38159739.Leucine_rich_repeat_protein_kinase_family_protein	0.0548	-0.415	0.55	0.1	*
4764.38159744.	-0.621	-0.293	0.018	0.24	*
4767.38159767.expressed_protein	0.148	-0.146	0.63	0.4	*
477.38084385.stem_specific_protein_TSJT1__putative__expressed	-0.241	0.182	0.22	0.7	*
4771.38159825.expressed_protein	-0.113	-0.0646	0.4	0.46	*
4775.38159876.expressed_protein	0.147	-0.444	0.6	0.21	*
4780.38159963.	-0.158	0.171	0.4	0.62	*
4785.38160086.zinc_ion_binding	-0.223	-0.176	0.32	0.39	*
4787.38160133.	0.0193	-0.426	0.51	0.22	*
4788.38160166.expressed_protein	-0.558	0.239	0.058	0.73	*
4789.38160180.expressed_protein	-0.03	-0.278	0.46	0.29	*
479.38084429.NDH_dependent_cyclic_electron_flow_1	-0.309	-0.142	0.19	0.35	*
4790.38160204.	0.847	0.49	0.98	0.83	*
4793.38160224.expressed_protein	-0.0425	-0.409	0.45	0.25	*
4796.38160263.Cupredoxin_superfamily_protein	0.0248	-0.7	0.52	0.045	*
4797.38160273.zinc_finger__C3HC4_type_domain_containing_protein__expressed	-0.0926	-0.154	0.42	0.38	*
48.38076307.	-0.232	-0.0841	0.32	0.44	*
4800.38160439.kinase__pfkB_family__putative__expressed	-0.356	-0.325	0.2	0.28	*
4805.38160514.Reticulon_family_protein	0.266	-0.342	0.73	0.22	*
481.38084344.	0.15	-0.366	0.61	0.27	*
481.38084450.Fe_S_metabolism_associated_domain_containing_protein__expressed	-0.175	-0.19	0.35	0.39	*
482.38084462.expressed_protein	-0.187	-0.152	0.32	0.37	*
4820.38160772.expressed_protein	-0.499	0.41	0.099	0.86	*
4825.38160889.F_box_family_protein	0.257	-0.0388	0.71	0.47	*
4826.38160900.F_box_family_protein	-0.156	-0.00938	0.36	0.49	*
483.38084385.stem_specific_protein_TSJT1__putative__expressed	-0.259	0.19	0.21	0.7	*
483.38084468.MYB_family_transcription_factor__putative__expressed	0.006	-0.362	0.5	0.23	*
4837.38161106.RNA_polymerase_II_complex_component_SRB7__putative__expressed	-0.00596	-0.344	0.48	0.31	*
4839.38161120.annexin_8	-0.271	-0.204	0.31	0.37	*
4841.38161176.	-0.46	-0.584	0.12	0.024	*
4843.38161188.Protein_kinase_superfamily_protein	-0.3	0.297	0.2	0.82	*
4844.38161205.Protein_kinase_superfamily_protein	0.451	-0.104	0.9	0.39	*
485.38084429.NDH_dependent_cyclic_electron_flow_1	-0.303	-0.102	0.19	0.39	*
4851.38161307.OsWAK7___OsWAK_receptor_like_protein_kinase__expressed	-0.0562	0.133	0.47	0.6	*
4856.38161378.mago_nashi_family_protein	-0.0785	0.114	0.44	0.58	*
4857.38161409.expressed_protein	-0.791	-0.0789	0.0085	0.45	*
4859.38161418.C2_domain_containing_protein__expressed	-0.732	-0.797	0.054	0.013	*
4861.38161460.expressed_protein	-0.241	-0.00932	0.24	0.5	*
4864.38161533.endonuclease__putative__expressed	-0.528	-0.341	0.069	0.13	*
4868.38161589.expressed_protein	0.155	-0.911	0.61	0.018	*
487.38084450.Fe_S_metabolism_associated_domain_containing_protein__expressed	-0.168	-0.195	0.36	0.38	*
4870.38161602.expressed_protein	-0.539	0.372	0.07	0.86	*
4873.38161630.plant_protein_of_unknown_function_domain_containing_protein__expressed	-0.211	-0.0892	0.29	0.41	*
4877.38161653.	0.47	-0.531	0.87	0.11	*
4878.38161673.SAM_dependent_methyltransferase__putative__expressed	-0.834	0.438	0.04	0.77	*
488.38084462.expressed_protein	-0.215	-0.191	0.29	0.33	*
489.38084468.MYB_family_transcription_factor__putative__expressed	-0.101	-0.378	0.39	0.2	*
489.38084566.	0.171	-0.294	0.64	0.29	*
49.38076307.	-0.224	-0.135	0.32	0.41	*
4900.38162137.AARP2CN_domain_containing_protein__expressed	-0.114	0.57	0.41	0.87	*
4905.38162183.transcription_factor_related__putative__expressed	0.166	-0.115	0.69	0.41	*
491.38084632.expressed_protein	-0.461	0.958	0.21	1	*
4913.38162370.urate_anion_exchanger__putative__expressed	0.14	0.0681	0.64	0.57	*
4914.38162375.EMB1381__putative__expressed	-0.265	-0.717	0.29	0.04	*
4917.38162410.vesicle_associated_membrane_protein_727	-0.343	-0.277	0.23	0.22	*
4919.38162465.Late_embryogenesis_abundant_protein__LEA__family_protein	-0.268	-0.0108	0.3	0.49	*
4926.38162762.pollen_specific_protein_SF21__putative__expressed	0.27	0.288	0.68	0.68	*
4933.38162907.heat_shock_protein_DnaJ__putative__expressed	-0.148	-0.149	0.37	0.4	*
4935.38162964.DUF1264_domain_containing_protein__putative__expressed	-0.157	0.37	0.32	0.84	*
4936.38162992.ribosomal_protein_L29_family_protein	-0.5	-0.391	0.062	0.1	*
494.38084685.transport_protein_particle_component__Bet3__domain_containing_protein__expressed	0.194	-0.304	0.66	0.25	*
4944.38163190.metallo_beta_lactamase__putative__expressed	-0.752	0.209	0.0023	0.75	*
4945.38163191.actin__putative__expressed	-0.0976	0.44	0.42	0.82	*
4946.38163217.BUD13__putative__expressed	-0.474	0.318	0.18	0.71	*
4948.38163255.transcription_factor_related	-0.538	-0.176	0.094	0.29	*
495.38084566.	0.232	-0.42	0.68	0.23	*
4950.38163265.allyl_alcohol_dehydrogenase__putative__expressed	0.437	0.104	0.86	0.62	*
4955.38163313.CS_domain_containing_protein__putative__expressed	-0.0831	-0.517	0.43	0.17	*
4958.38163359.	0.000431	-0.0156	0.49	0.49	*
4959.38163369.	-nan	-nan	0.62	0.39	*
4960.38163378.putative_recombination_initiation_defect_1	-0.0971	-0.166	0.43	0.36	*
4964.38163446.glucosyltransferase__putative__expressed	0.837	0.782	1	1	*
4967.38163499.Haloacid_dehalogenase_like_hydrolase__HAD__superfamily_protein	-0.0331	-0.427	0.45	0.16	*
4969.38163503.Protein_of_unknown_function__DUF185_	-0.531	0.0489	0.098	0.55	*
497.38084632.expressed_protein	-0.526	0.948	0.18	0.99	*
4971.38163540.expressed_protein	-0.51	-0.256	0.15	0.34	*
4975.38163596.nodulin__putative__expressed	-0.266	0.0038	0.29	0.52	*
4979.38163645.dehydrin__putative__expressed	-0.0655	0.365	0.42	0.86	*
498.38084734.	-0.806	0.189	0.0047	0.69	*
4984.38163848.	-0.746	-0.204	0.0063	0.29	*
4986.38163887.GroES_like_zinc_binding_alcohol_dehydrogenase_family_protein	-0.496	0.238	0.099	0.73	*
4987.38163905.outer_membrane_protein__OMP85_family__putative__expressed	-0.368	0.441	0.13	0.89	*
4988.38163959.	0.246	-0.0351	0.67	0.48	*
499.38084755.	-0.135	0.365	0.36	0.82	*
4992.38164052.Ankyrin_repeat_family_protein	0.404	-0.797	0.78	0.042	*
4999.38164146.myb_domain_protein_114	0.371	-0.0474	0.74	0.45	*
5.38075528.expressed_protein	-0.27	-0.298	0.18	0.19	*
50.38076334.photosynthetic_electron_transfer_B	-0.256	-0.159	0.22	0.32	*
500.38084685.transport_protein_particle_component__Bet3__domain_containing_protein__expressed	0.181	-0.29	0.65	0.26	*
5001.38164154.Sec14p_like_phosphatidylinositol_transfer_family_protein	-0.273	-0.491	0.31	0.22	*
5008.38164320.origin_recognition_complex_subunit_3	-0.512	-0.508	0.1	0.12	*
5010.38164402.	-0.154	-0.765	0.36	0.017	*
5015.38164466.terpene_synthase__putative__expressed	0.468	-0.339	0.86	0.22	*
5016.38164486.protein_kinase_domain_containing_protein__expressed	-0.242	-0.0305	0.31	0.49	*
5017.38164496.protein_kinase_domain_containing_protein__expressed	-0.61	0.227	0.059	0.74	*
5018.38164498.expressed_protein	-0.547	-0.484	0.11	0.17	*
5027.38164638.methyltransferases	0.32	-0.555	0.79	0.057	*
503.38084781.Leucine_rich_repeat__LRR__family_protein	0.455	-0.742	0.81	0.019	*
5033.38164784.para_hydroxybenzoate__polyprenyltransferase__mitochondrial_precursor__putative__expressed	-0.41	-0.721	0.19	0.074	*
5038.38164923.uroporphyrinogen_III_synthase__putative__expressed	-0.399	0.0225	0.22	0.52	*
5039.38164926.C2H2_and_C2HC_zinc_fingers_superfamily_protein	-0.146	0.346	0.39	0.7	*
504.38084734.	-0.808	0.215	0.0048	0.71	*
5041.38164967.expressed_protein	-nan	-nan	0.4	0.43	*
5043.38165000.e2f_associated_phosphoprotein__putative__expressed	-0.542	0.108	0.098	0.58	*
5046.38165042.expressed_protein	-0.0429	-0.174	0.44	0.34	*
5048.38165088.NAD_P__binding_Rossmann_fold_superfamily_protein	-0.12	-0.361	0.38	0.21	*
505.38084755.	0.0488	0.326	0.55	0.82	*
5053.38165147.Leucine_rich_repeat__LRR__family_protein	-0.606	-0.496	0.023	0.081	*
5055.38165187.	-0.197	0.0242	0.31	0.52	*
5058.38165288.ribosomal_protein_L9	-0.507	0.108	0.14	0.58	*
5063.38165321.expressed_protein	-nan	-nan	0.099	0.12	*
5065.38165337.pentatricopeptide__putative__expressed	-0.587	-0.584	0.028	0.033	*
5069.38165378.	-0.247	-0.303	0.25	0.29	*
507.38084837.endoplasmic_reticulum_adenine_nucleotide_transporter_1	-0.76	-0.688	0.023	0.03	*
5070.38165384.expressed_protein	-0.0581	-0.123	0.43	0.36	*
5082.38165536.S_adenosyl_L_methionine_dependent_methyltransferases_superfamily_protein	-0.17	-0.0136	0.38	0.48	*
5083.38165541.Cytochrome_c_oxidase__subunit_Vib_family_protein	-0.31	-0.904	0.27	0.006	*
509.38084781.Leucine_rich_repeat__LRR__family_protein	0.369	-0.714	0.75	0.019	*
5093.38165611.	0.226	0.0415	0.68	0.54	*
5099.38165705.OsFBX13___F_box_domain_containing_protein__expressed	-0.313	-0.169	0.27	0.36	*
51.38076334.photosynthetic_electron_transfer_B	-0.299	-0.0374	0.19	0.45	*
5100.38165773.RED_family_protein	-0.377	-0.308	0.11	0.21	*
5103.38165830.FtsH_extracellular_protease_family	-0.157	0.0747	0.35	0.59	*
5104.38165837.WD_domain__G_beta_repeat_domain_containing_protein__expressed	-0.601	0.0462	0.016	0.56	*
5110.38166040.ribosomal_L9__putative__expressed	-0.438	-0.763	0.15	0.0093	*
5112.38166089.shortage_in_chiasmata_1	-0.017	-0.799	0.49	0.02	*
5117.38166207.sequence_specific_DNA_binding_transcription_factors_DNA_binding_DNA_binding	-0.318	-0.0989	0.15	0.4	*
512.38084887.40S_ribosomal_protein_S25__putative__expressed	-0.447	-0.0949	0.098	0.4	*
5123.38166414.expressed_protein	-0.0347	-0.445	0.45	0.22	*
5129.38166483.ATP_synthase_D_chain__mitochondrial	0.569	-0.532	0.91	0.098	*
513.38084837.endoplasmic_reticulum_adenine_nucleotide_transporter_1	-0.743	-0.686	0.032	0.025	*
5130.38166503.expressed_protein	0.375	-0.666	0.75	0.046	*
5132.38166522.	-0.217	0.704	0.34	0.91	*
5133.38166532.ACT_domain_containing_protein__putative__expressed	-0.241	-0.485	0.28	0.11	*
5134.38166535.ATP_dependent_protease_La__LON__domain_protein	0.275	-0.426	0.71	0.23	*
5135.38166561.catalytics_hydrolases	-0.566	-0.114	0.062	0.37	*
5136.38166606.timeless_family_protein	0.147	-0.532	0.67	0.055	*
5144.38166695.peptidyl_prolyl_cis_trans_isomerase__FKBP_type__putative__expressed	-0.257	-0.314	0.27	0.25	*
5145.38166704.cytochrome_c_type_biogenesis_protein_dbsD_like__putative__expressed	-0.297	0.0167	0.2	0.52	*
5148.38166711.	0.323	-0.493	0.77	0.15	*
5164.38167058.C2_domain_containing_protein__expressed	-nan	-nan	0.56	0.58	*
5165.38167069.histidinol_dehydrogenase__chloroplast_precursor__putative__expressed	-0.414	-0.227	0.097	0.24	*
5166.38167106.iron_regulated_protein_3	0.058	0.0888	0.56	0.58	*
5175.38167230.OsFBX257___F_box_domain_containing_protein__expressed	-0.394	0.0574	0.21	0.54	*
5179.38167253.expressed_protein	-0.44	0.474	0.13	0.91	*
518.38084887.40S_ribosomal_protein_S25__putative__expressed	-0.482	-0.0643	0.082	0.43	*
518.38084984.expressed_protein	-0.518	0.392	0.091	0.86	*
5183.38167283.expressed_protein	-0.223	-0.0349	0.24	0.46	*
5186.38167332.LYR_motif_containing_protein__putative__expressed	0.217	0.295	0.7	0.75	*
5189.38167358.molybdopterin_biosynthesis_MoaE_family_protein	0.251	-0.321	0.74	0.26	*
5190.38167362.expressed_protein	0.0778	-0.115	0.57	0.43	*
5193.38167439.methyltransferases	0.32	-0.504	0.71	0.17	*
5201.38167559.	0.21	0.119	0.67	0.58	*
5204.38167575.zinc_finger__C3HC4_type_family_protein__expressed	-0.235	-0.26	0.32	0.34	*
5205.38167582.WD_domain__G_beta_repeat_domain_containing_protein__expressed	-0.184	0.185	0.34	0.62	*
521.38085026.nitroreductase_family_protein	-0.497	-0.531	0.1	0.069	*
5212.38167734.MUTL_protein_homolog_3	0.421	-0.803	0.82	0.046	*
5216.38167852.Fumarylacetoacetate__FAA__hydrolase_family	-0.402	0.148	0.22	0.6	*
5219.38167920.expressed_protein	0.421	-0.41	0.85	0.18	*
522.38085050.nitroreductase_family_protein	-0.0349	-0.454	0.47	0.19	*
5221.38167945.	0.428	-0.157	0.81	0.4	*
5222.38167971.expressed_protein	-0.591	0.028	0.11	0.5	*
5224.38168004.GA22009_PA__putative__expressed	-0.377	0.388	0.21	0.76	*
5225.38168008.CHCH_domain_containing_protein__expressed	-0.454	-0.345	0.14	0.22	*
5232.38168142.Phospholipase_A2_family_protein	0.557	-0.533	0.93	0.06	*
5233.38168156.prenyltransferase__putative__expressed	-0.0535	-0.179	0.44	0.38	*
5234.38168161.prenyltransferase__putative__expressed	-0.00176	-0.448	0.5	0.16	*
524.38084984.expressed_protein	-0.508	0.394	0.092	0.86	*
524.38085089.aldehyde_dehydrogenase_12A1	-0.0768	-0.321	0.43	0.21	*
5240.38168304.plastid_transcriptionally_active_14	0.3	-0.772	0.69	0.053	*
5244.38168412.expressed_protein	-0.376	0.0503	0.19	0.55	*
5245.38168427.actin_related_protein_2	0.24	-0.526	0.8	0.041	*
5249.38168478.MAP_kinase_kinase_9	-0.194	-0.863	0.37	0.032	*
5252.38168503.amino_acid_kinase__putative__expressed	0.528	-0.245	0.9	0.31	*
5255.38168516.expressed_protein	0.455	-0.577	0.79	0.17	*
5257.38168568.RNA_recognition_motif_family_protein__expressed	0.138	-0.0865	0.61	0.45	*
526.38085099.histone_like_transcription_factor_and_archaeal_histone__putative__expressed	-0.766	-0.591	0.019	0.056	*
5260.38168597.L11_domain_containing_ribosomal_protein__putative__expressed	-0.339	-0.416	0.11	0.075	*
5262.38168640.unknown_protein_6	0.328	0.384	0.73	0.76	*
5264.38168734.ribosomal_protein_L51__putative__expressed	-0.475	0.247	0.1	0.75	*
5266.38168751.FMN_binding	-0.673	0.376	0.036	0.83	*
527.38085026.nitroreductase_family_protein	-0.461	-0.533	0.12	0.064	*
527.38085114.histone_like_transcription_factor_and_archaeal_histone__putative__expressed	0.149	0.0835	0.6	0.55	*
5273.38168854.	0.349	-0.361	0.76	0.26	*
528.38085050.nitroreductase_family_protein	-0.0583	-0.443	0.45	0.19	*
5280.38168981.expressed_protein	0.0946	0.137	0.56	0.58	*
5285.38169044.tetratricopeptide_repeat_domain_containing_protein__expressed	0.218	0.0273	0.68	0.52	*
5287.38169062.Mediator_complex__subunit_Med7	-0.421	0.154	0.17	0.69	*
529.38085147.flap_endonuclease__putative__expressed	-0.198	-0.181	0.27	0.32	*
